id,pattern_name,image_url,created_at
c4ab1a6b-fa1f-4f87-b81d-af19fad03573,C010,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961798495_C010.jpg,2026-01-21 02:16:37.956558+00
c67872d1-b2c5-4d9a-8c8e-fec3c939a0b2,C005,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961795406_C005.jpg,2026-01-21 02:16:35.171675+00
d0fe6651-fcc4-415f-b1d2-78848e6972f7,C017,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961802584_C017.jpg,2026-01-21 02:16:42.124218+00
d0feba2d-c949-4cb5-8fd0-77d6a0efba73,B003,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961308650_B003.jpg,2026-01-21 02:08:28.450984+00
d412a7b4-bec5-4158-b185-d90f7b72d28d,D003,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962018531_D003.jpg,2026-01-21 02:20:17.958432+00
d773d202-ca3f-4663-a3ce-80c43bfe3047,C028,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961808203_C028.jpg,2026-01-21 02:16:47.73077+00
d7dc6ced-a039-444c-a284-49cca4639328,D009,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962021087_D009.jpg,2026-01-21 02:20:20.488775+00
d8aaffbc-3508-4aa6-961a-174c34cab33d,A036,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960219483_A036.jpg,2026-01-21 01:50:19.071079+00
d99d2151-fe5e-4cfc-b2ec-5f621b792e9d,G005,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962269427_G005.jpg,2026-01-21 02:24:28.874915+00
da3c3bba-6a93-48ac-bc5c-55edfa303045,F005,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768965985761_F005.jpg,2026-01-21 03:26:25.422825+00
daedb467-446d-4518-84ac-5c9961853e6b,A012,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960209242_A012.jpg,2026-01-21 01:50:08.902339+00
db0f6d42-944c-4ea1-8c32-0278b77b000c,B007,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961313979_B007.jpg,2026-01-21 02:08:33.760252+00
dc347da4-9bc2-473c-bc94-7cd7f2b0e084,B014,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961319199_B014.jpg,2026-01-21 02:08:38.865032+00
