product_code,product_name,product_type,product_category,storage_location,rubber_code,is_active,image_url,legacy_id,created_at,updated_at
110000270,กระบอกน้ำ BTG03 สีเหลือง,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว7,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000270-1768884636052.jpg,8051,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000271,กระบอกน้ำ BTG04 สีม่วง,FINISHPRODUCT,FIBERLASER,4Eชั้น3แถว8,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000271-1768884636432.jpg,8052,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000272,กระบอกน้ำ BTH01 สีขาว,FINISHPRODUCT,FIBERLASER,4Eชั้น2แถว4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000272-1768884636791.jpg,8053,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000273,กระบอกน้ำ BTH02 สีเขียว,FINISHPRODUCT,FIBERLASER,ไม่มี,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000273-1768884637116.jpg,8054,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000274,กระบอกน้ำ BTI01 สีฟ้า,FINISHPRODUCT,FIBERLASER,4Eชั้น2แถว3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000274-1768884637440.jpg,8055,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000275,กระบอกน้ำ BTI02 สีชมพู,FINISHPRODUCT,FIBERLASER,ไม่มี,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000275-1768884637829.jpg,8056,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000276,กระบอกน้ำ BTI03 สีเขียว,FINISHPRODUCT,FIBERLASER,ไม่มี,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000276-1768884638167.jpg,8057,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000277,กระบอกน้ำ BTI04 สีม่วง,FINISHPRODUCT,FIBERLASER,ไม่มี,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000277-1768884638504.jpg,8058,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000278,กระบอกน้ำ BTJ01 สีแดง,FINISHPRODUCT,FIBERLASER,ไม่มี,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000278-1768884638920.jpg,8059,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000279,กระบอกน้ำ BTJ02 สีน้ำเงิน,FINISHPRODUCT,FIBERLASER,4Eชั้น2แถว1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000279-1768884639285.jpg,8060,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
